Time(ms),Ax(g),Ay(g),Az(g)
1268,-0.144,-0.027,1.197
1369,0.099,0.208,1.069
1470,-0.221,0.412,1.595
1571,0.192,-0.008,0.737
1672,0.276,-0.128,0.522
1773,-0.443,-0.289,1.433
1874,-0.579,-0.647,1.568
1975,-0.210,0.412,1.308
2076,0.325,0.219,0.856
2177,0.891,-0.203,0.210
2278,0.419,0.050,0.342
2379,0.587,-0.292,0.389
2480,-0.684,-0.143,1.560
2581,0.043,0.403,0.825
2682,-0.106,0.322,1.265
2783,0.398,-0.089,0.473
2884,0.638,-0.728,0.800
2985,-0.643,-0.568,1.231
3086,0.709,-1.758,1.326
3187,0.183,1.293,1.206
3288,0.483,1.051,1.871
3389,-0.313,0.983,1.262
3490,0.068,-0.524,1.909
3591,1.133,-2.000,1.911
3692,1.211,1.177,0.936
3793,0.748,1.348,0.074
3894,1.077,-0.245,-0.123
3995,0.777,-0.109,-0.519
4101,0.708,-1.031,-0.075
4202,1.072,1.827,0.331
4303,0.232,1.021,0.430
4404,0.160,-2.000,0.599
4505,0.867,-2.000,1.439
4606,0.055,0.697,1.130
4707,-0.313,1.289,1.480
4808,0.175,-1.882,1.970
4909,1.038,-1.028,1.831
5010,0.944,1.444,0.966
5111,0.807,-0.334,0.146
5212,0.748,-0.729,-0.540
5313,0.879,-0.719,-0.403
5414,-0.871,-0.040,-0.332
5515,-1.980,1.721,1.970
5616,-1.980,2.000,1.970
5717,-1.980,0.649,1.970
5818,0.666,-1.442,0.148
5919,1.294,0.310,0.140
6020,0.611,2.000,0.314
6121,0.368,-2.000,1.046
6222,0.927,-0.657,1.828
6323,-0.401,1.382,1.218
6424,0.371,-0.227,1.970
6525,1.103,-2.000,1.371
6626,1.732,0.768,0.779
6727,1.071,0.942,-0.038
6828,1.189,-0.201,0.186
6929,0.705,-1.015,-0.325
7030,0.861,-0.381,-0.220
7131,-1.474,0.467,0.953
7232,-1.980,2.000,1.970
7333,-1.980,0.861,1.970
7434,-0.612,-0.626,1.970
7535,0.775,0.483,0.529
7636,1.148,2.000,0.262
7737,0.682,0.085,-0.456
7838,1.096,-2.000,0.084
7939,1.214,-2.000,1.053
8040,-0.182,1.152,1.622
8141,0.614,-2.000,1.970
8242,1.549,-1.363,1.441
8343,1.180,1.372,0.265
8444,0.924,0.467,-0.180
8545,0.868,-0.622,-0.363
8646,0.766,-0.083,0.085
8747,-0.595,-0.526,0.221
8848,-1.922,-0.488,1.220
8949,-1.980,2.000,1.970
9050,-1.980,2.000,1.970
9151,0.481,-0.222,0.266
9252,0.931,2.000,0.370
9353,0.717,0.099,-0.228
9454,1.586,-2.000,0.189
9555,1.321,-2.000,0.405
9656,0.572,1.063,1.191
9757,-0.193,0.072,1.516
9858,0.257,-2.000,1.643
9959,1.362,-0.645,1.964
10060,0.785,1.613,1.189
10161,0.614,-0.575,-0.201
10262,0.929,-0.226,-0.420
10363,0.288,-0.251,0.131
10464,-1.520,-0.804,0.884
10565,-1.980,2.000,1.970
10666,-1.980,1.886,1.970
10767,0.113,-0.298,1.191
10868,0.697,-0.379,-0.073
10969,0.940,2.000,0.463
11070,0.423,-2.000,0.367
11171,1.568,-2.000,1.369
11272,0.272,1.413,1.352
11373,-0.085,0.330,1.970
11474,0.151,-2.000,1.908
11575,1.242,-0.419,1.705
11677,0.715,-0.674,0.088
11778,0.654,-1.027,-0.082
11879,1.217,-0.492,-0.384
11980,0.537,-0.950,-0.703
12081,-1.760,2.000,1.970
12182,-1.980,2.000,1.970
12283,-1.980,-0.094,1.970
12384,0.791,-0.554,0.921
12485,1.086,1.646,0.291
12586,0.815,1.764,-0.177
12687,0.661,-2.000,-0.082
12788,1.247,-2.000,0.918
12889,0.772,0.594,1.451
12990,-0.188,1.136,1.713
13091,1.608,-1.433,1.405
13192,1.437,1.899,0.487
13293,0.877,0.588,-0.147
13394,0.967,-0.571,-0.080
13495,0.774,-0.139,-0.084
13596,-0.320,-0.296,0.176
13697,-1.503,-0.547,0.515
13798,-1.980,2.000,1.970
13899,-1.980,2.000,1.970
14000,-1.980,-0.216,1.970
14101,0.982,2.000,0.264
14202,0.864,0.345,-0.308
14303,1.441,-2.000,-0.119
14404,1.353,-2.000,0.152
14505,0.855,0.770,1.144
14606,-0.419,0.892,1.259
14707,0.181,-1.403,1.865
14808,1.265,-1.628,1.934
14909,1.048,1.408,0.982
15010,0.488,0.769,0.147
15111,0.733,-0.391,-0.327
15212,-0.082,-0.139,0.264
15313,-1.776,-1.159,1.325
15414,-1.980,2.000,1.970
15515,-1.980,1.736,1.970
15616,0.098,-0.040,0.844
15717,0.831,-0.047,0.006
15818,0.984,2.000,0.352
15919,0.552,-0.125,-0.183
16020,1.418,-1.941,1.162
16121,0.234,1.096,1.305
16222,-0.057,-0.204,1.970
16323,0.018,-2.000,1.727
16424,1.052,-0.222,1.844
16525,0.675,1.365,1.359
16626,0.155,-0.063,0.397
16727,0.415,-1.018,-0.148
16828,1.026,-0.366,-0.365
16929,-0.118,-0.684,-0.257
17030,-1.980,2.000,1.970
17131,-1.980,1.654,1.970
17232,0.218,-0.536,1.209
17333,0.840,0.056,-0.072
17434,1.239,2.000,0.192
17535,0.524,0.261,-0.079
17636,0.590,-2.000,0.516
17737,1.015,-1.044,1.768
17838,-0.161,0.951,1.684
17939,0.247,-0.858,1.706
18040,1.641,1.217,0.845
18141,0.701,1.361,0.101
18242,0.764,-0.333,0.041
18343,0.743,-0.260,-0.301
18444,0.481,0.038,0.077
18545,-1.180,-1.095,-0.042
18646,-1.710,2.000,1.661
18747,-1.980,2.000,1.970
18848,-1.980,0.192,1.970
18949,0.646,-1.123,1.240
19050,1.102,1.651,-0.412
19151,1.157,-1.423,-0.260
19252,1.340,-2.000,0.314
19353,1.156,-0.028,1.409
19454,-0.274,1.258,1.307
19555,0.358,-1.241,1.970
19656,0.863,-2.000,1.845
19757,1.290,1.288,0.864
19858,0.645,0.565,-0.222
19959,0.832,-0.670,-0.272
20060,-0.156,-0.197,0.358
20161,-1.818,-1.049,1.037
20262,-1.980,2.000,1.970
20363,-1.980,2.000,1.970
20464,0.067,0.220,0.838
20565,0.565,0.121,0.141
20666,1.333,2.000,0.389
20767,0.930,-0.284,-0.302
20868,1.293,-2.000,0.187
20969,0.397,2.000,1.136
21070,0.129,-0.620,1.830
21171,0.400,-1.734,1.678
21272,1.236,0.692,1.811
21373,0.541,1.404,1.217
21474,0.151,-0.023,0.260
21575,0.655,-0.414,-0.404
21676,0.610,0.378,-0.261
21777,-0.816,-0.874,0.460
21878,-1.980,0.706,1.970
21979,-1.980,0.708,1.970
22080,0.618,-0.691,0.479
22181,1.185,0.886,0.079
22282,1.010,2.000,0.439
22383,0.064,-2.000,0.060
22484,1.077,-2.000,1.436
22585,0.546,0.524,1.699
22686,0.003,0.676,1.931
22787,0.472,-2.000,1.470
22888,1.534,-0.727,1.332
22989,0.569,0.471,0.336
23090,0.677,-0.817,-0.031
23191,0.733,0.011,-0.216
23292,0.005,-0.730,-0.215
23393,-1.278,0.057,0.007
23494,-1.980,2.000,1.970
23595,-1.980,1.429,1.970
23696,-0.357,-0.590,1.868
23797,0.943,0.015,0.341
23898,1.651,2.000,0.415
23999,0.898,-2.000,-0.010
24100,1.607,-2.000,1.311
24201,0.145,1.350,1.283
24302,-0.006,0.318,1.750
24403,1.273,-2.000,1.285
24504,1.517,1.310,0.922
24605,0.521,1.312,0.021
24706,0.790,-0.349,-0.136
24807,0.817,0.091,-0.212
24908,0.031,0.194,0.512
25009,-1.980,1.250,1.970
25110,-1.980,2.000,1.970
25211,-0.905,0.191,1.530
25312,0.545,-0.365,0.623
25413,1.391,2.000,0.307
25514,0.932,0.650,-0.392
25615,1.385,-2.000,0.108
25716,1.652,-1.257,-0.334
25817,0.541,1.600,1.432
25918,0.326,-2.000,1.618
26019,1.196,-0.708,1.970
26120,0.368,1.192,1.351
26221,0.065,0.101,0.191
26322,0.675,-0.507,-0.509
26423,0.973,0.134,-0.101
26524,-0.706,-0.795,0.015
26625,-1.980,0.161,1.970
26726,-1.980,2.000,1.970
26827,-0.776,0.588,1.396
26928,1.001,1.480,0.348
27029,0.411,1.441,0.469
