Time(ms),Ax(g),Ay(g),Az(g)
1268,0.020,0.000,-0.030
1469,1.332,1.016,0.660
1670,0.970,0.403,-0.052
1871,1.010,-0.147,0.670
2072,0.611,-0.385,-0.493
2273,0.727,-0.335,-0.164
2474,0.864,-0.869,-0.386
2675,0.090,-0.539,-0.198
2876,-1.574,0.596,1.566
3077,-1.980,2.000,1.970
3278,-1.980,0.860,1.970
3479,0.625,-0.582,0.948
3680,0.775,-0.426,0.917
3881,0.766,0.840,0.087
4082,0.597,2.000,0.277
4283,0.882,1.907,-0.121
4484,1.015,-1.170,0.151
4685,1.137,-2.000,0.336
4886,1.023,-0.919,1.244
5087,-0.143,0.847,1.288
5288,-0.423,0.830,1.555
5489,0.326,-0.942,1.970
5690,1.321,-1.726,1.962
5891,1.111,0.953,0.232
6092,1.334,0.751,0.346
6293,1.065,-0.445,0.205
6494,0.607,0.189,-0.277
6695,0.653,0.289,-0.550
6896,0.611,-0.814,-0.186
7097,-0.470,-0.446,-0.382
7298,-1.667,1.302,1.705
7499,-1.980,2.000,1.970
7700,-1.980,0.585,1.970
7901,0.864,-0.764,0.413
8102,0.767,-0.881,0.426
8303,0.926,1.571,0.399
8504,0.751,2.000,0.142
8705,0.570,-1.346,0.203
8906,1.072,-2.000,0.526
9107,0.625,-1.041,1.184
9308,0.936,-0.700,1.187
9509,-0.234,1.010,1.451
9710,-0.250,-0.218,1.602
9911,0.573,-2.000,1.777
10112,1.309,0.432,1.921
10313,0.855,0.540,0.063
10514,1.282,0.223,0.304
10715,1.076,0.126,0.378
10916,0.648,-0.095,-0.365
11117,0.609,0.057,-0.222
11318,-0.066,-1.109,0.110
11519,-1.027,1.391,0.823
11720,-1.980,2.000,1.970
11921,-1.980,2.000,1.970
12122,-1.980,1.281,1.970
12323,0.407,-0.644,1.296
12524,0.790,-0.883,-0.133
12725,0.901,2.000,0.609
12926,0.332,0.823,-0.037
13127,0.762,-2.000,0.461
13328,0.934,-2.000,0.651
13529,0.875,-1.593,1.147
13730,0.117,0.801,1.267
13931,0.075,-0.925,1.967
14132,0.479,-1.705,1.944
14333,0.466,-1.719,1.967
14534,1.350,-0.470,1.970
14735,0.928,0.614,0.582
