Time(ms),Ax(g),Ay(g),Az(g)
1263,0.020,0.000,-0.030
1314,0.070,0.021,1.033
1365,0.086,0.016,1.019
1416,0.136,-0.040,0.887
1467,-0.557,0.225,1.421
1518,-0.310,-0.433,1.564
1569,-0.241,-0.069,1.343
1620,-0.324,0.035,1.616
1671,0.323,-0.437,0.856
1722,0.459,0.120,0.895
1773,1.085,-0.139,0.741
1824,0.340,0.242,1.185
1875,0.561,-0.081,0.035
1926,0.496,-0.401,0.133
1977,1.028,-0.014,0.431
2028,0.234,-0.723,0.569
2079,0.002,0.483,1.128
2130,-0.402,-0.125,1.596
2181,-0.398,-0.232,1.401
2232,-0.253,-0.086,1.490
2283,-0.412,-0.365,1.970
2334,0.424,0.019,0.234
2385,0.289,0.256,0.776
2436,1.178,-0.152,0.435
2487,0.719,-0.204,0.789
2538,0.762,0.016,0.425
2589,0.082,0.563,0.439
2640,-0.104,0.312,0.676
2691,-0.736,-0.785,1.915
2742,-0.019,0.101,1.348
2793,-0.614,0.116,1.952
2844,-0.134,0.554,1.581
2895,0.000,0.726,0.649
2946,0.485,-0.261,0.756
2997,0.806,0.126,0.691
3048,0.433,0.342,0.465
3100,-0.008,-0.089,1.091
3151,-0.406,0.423,1.758
3202,-0.213,0.071,1.559
3252,-1.517,0.161,1.970
3304,0.262,-0.360,1.335
3355,0.333,-0.861,0.908
3406,0.763,0.696,0.798
3456,0.666,-0.033,0.610
3508,0.503,-0.670,0.173
3558,0.260,0.727,0.322
3610,0.089,0.150,0.647
3660,0.012,-0.035,0.983
3712,-0.758,0.353,1.902
3763,-0.573,-0.281,1.895
3814,-1.395,0.313,1.970
3865,-0.015,-0.503,0.701
3916,-0.269,-0.082,1.191
3966,1.124,-0.328,1.056
4018,0.765,-0.114,0.420
4068,0.815,0.897,0.618
4120,0.170,0.168,0.356
4171,0.299,-0.583,0.991
4222,0.012,1.158,1.267
4272,-0.253,-0.148,1.346
4326,0.652,-0.497,0.740
4377,-0.098,0.659,1.005
4428,0.625,-0.685,0.137
4478,0.466,-0.244,0.406
4530,1.235,0.396,0.661
4580,0.090,-0.270,0.548
4632,-0.141,-0.044,0.940
4682,-0.266,-0.020,1.393
4734,-0.206,-0.355,1.573
4784,-1.540,0.715,1.970
4836,-0.815,-0.240,1.970
4887,0.689,-0.367,0.548
4938,0.527,0.354,1.082
4989,1.007,-0.635,0.103
5040,0.394,0.334,0.219
5091,1.006,-0.408,0.087
5142,-0.042,0.140,0.429
5192,-0.078,0.208,0.769
5244,-0.436,-0.552,1.417
5294,0.026,0.770,1.552
5346,-0.542,0.084,1.914
5396,-0.231,0.365,1.708
5448,0.307,0.053,0.631
5499,0.418,-0.018,0.917
5555,0.033,-0.057,1.570
5606,-0.720,-0.585,1.970
5657,0.189,0.619,1.776
5708,0.039,0.457,1.111
5759,0.192,-0.816,0.721
5810,0.492,0.314,0.472
5861,0.611,-0.405,0.577
5911,0.451,-0.284,0.371
5963,-0.174,0.638,1.235
6013,0.068,-0.805,1.228
6065,-1.538,0.728,1.970
6116,-0.767,0.025,1.900
6167,-0.827,-0.201,1.718
6218,0.856,0.001,1.125
6269,0.681,-0.463,0.474
6319,1.065,0.861,0.801
6371,0.639,0.472,0.314
6421,0.523,-0.683,0.076
6473,0.249,0.848,0.623
6523,-0.228,0.593,0.875
6575,-0.243,-0.169,1.186
6626,-0.948,0.524,1.970
6677,0.083,-0.627,1.598
6727,-0.657,0.788,1.887
6784,0.491,-0.450,0.999
6835,-0.738,0.276,1.613
6886,-0.522,0.066,1.088
6937,-0.429,-0.710,1.507
6988,-0.732,0.021,1.970
7038,0.471,-0.233,0.767
7090,0.103,0.024,0.635
7140,0.501,-0.398,0.170
7192,0.616,-0.131,0.288
7242,0.645,0.873,0.507
7294,0.295,-0.549,0.419
7345,0.023,0.287,1.042
7396,-0.862,1.214,1.970
7447,-0.504,-0.781,1.590
7498,-0.928,0.128,1.959
7548,-0.622,-0.748,1.970
7600,0.435,-0.122,0.373
7651,0.266,0.294,1.069
7702,0.981,-0.385,0.134
7753,0.302,0.165,0.506
7804,0.914,-0.237,0.499
7854,0.040,0.396,0.421
7906,-0.073,-0.171,0.523
7957,-0.641,-0.598,1.956
8011,0.363,0.329,1.117
8063,1.206,-0.387,0.485
8114,0.676,0.200,0.895
8165,0.732,-0.778,0.347
8216,-0.161,0.271,0.754
8266,-0.119,0.628,1.053
8318,-1.100,-0.521,1.466
8368,-0.120,0.014,1.562
8420,-0.060,-0.277,1.210
8470,0.589,0.781,1.229
8522,0.283,0.491,0.384
8573,0.862,-0.286,0.496
8624,0.549,0.341,0.385
8675,0.019,0.377,0.412
8726,0.005,-0.687,1.245
8777,-0.229,0.292,1.970
8828,-0.617,-0.118,1.926
8878,-1.696,0.210,1.970
8930,-0.191,-0.354,0.906
8980,0.601,-0.881,0.631
9032,0.974,0.878,0.932
9082,0.604,-0.456,0.249
9134,0.472,-0.505,0.029
9185,0.591,0.335,0.382
9236,0.677,-0.463,0.676
9287,-0.035,0.002,1.437
9338,-0.571,0.314,0.886
9388,-0.696,-0.484,1.761
9440,-0.756,0.377,1.883
9490,0.480,-0.382,1.025
9542,0.257,-0.156,0.598
9593,1.302,0.412,0.925
9644,0.754,-0.415,0.516
9694,0.546,1.184,0.727
9746,-0.053,0.117,0.812
9796,-0.191,-0.207,0.758
9848,-0.651,1.156,1.701
9899,0.120,-0.622,1.517
9950,-0.841,0.066,1.854
10000,-0.709,0.206,1.970
10052,0.567,-0.279,0.986
10103,0.112,0.567,1.238
10154,0.904,-0.266,0.077
10204,0.248,0.234,0.287
10256,0.829,-0.228,0.152
10307,0.212,-0.546,0.645
10358,0.391,0.760,0.924
10408,-0.724,-0.048,1.795
10468,0.020,-0.619,1.049
10519,0.220,0.858,1.224
10570,-1.523,0.203,1.970
10620,-0.212,0.511,1.578
