Time(ms),Ax(g),Ay(g),Az(g)
1264,0.073,0.029,1.002
1465,0.365,-0.767,1.110
1666,0.537,-0.311,1.248
1867,1.003,-0.265,0.475
2068,1.080,-0.642,0.300
2269,0.993,-0.242,0.197
2470,1.038,-0.374,0.132
2671,1.044,-0.495,0.361
2872,0.550,-0.104,0.670
3073,0.383,-0.283,0.751
3274,0.030,-0.490,0.773
3475,-0.297,-0.544,1.082
3676,-0.533,-0.493,1.970
3877,-0.467,-0.687,1.970
4078,-0.001,-0.350,1.695
4279,0.570,-0.701,1.273
4480,0.915,-0.578,0.916
4681,1.018,-0.126,0.359
4882,1.073,-0.735,0.196
5083,1.205,-0.854,0.298
5284,0.960,-0.358,0.498
5485,0.902,-0.418,0.574
5686,-0.065,-0.798,1.255
5887,-0.168,-0.323,1.564
6088,-0.389,-0.500,1.970
6289,-0.520,-0.808,1.970
6490,-0.698,-0.196,1.970
6691,0.563,-0.223,1.125
6892,0.820,-0.429,0.747
7093,0.850,-0.122,0.467
7294,1.070,-0.530,0.211
7495,1.057,-0.934,0.122
7696,0.820,-0.348,0.258
7897,0.801,-0.498,0.274
8098,0.432,-0.647,0.628
8299,-0.203,-0.412,1.416
8500,-0.246,-0.553,1.772
8701,-0.656,0.068,1.969
8902,-0.372,-0.155,1.788
9103,0.175,-0.034,1.367
9304,0.575,-0.287,0.902
9505,0.669,-0.222,0.475
9706,0.720,-0.068,-0.033
9907,0.966,0.012,0.105
10108,1.002,-0.165,0.132
10309,0.906,-0.005,0.264
10510,0.717,-0.038,0.506
10711,0.463,-0.101,0.801
10912,-0.157,0.432,1.370
11113,-0.814,0.473,1.677
11314,-0.664,-0.371,1.550
11515,-0.375,-0.024,1.046
11716,0.047,-0.301,0.588
11917,1.188,0.137,1.012
12118,1.261,0.205,0.877
12319,1.304,0.145,0.594
12520,1.163,-0.081,0.588
12721,0.740,-0.153,0.133
12922,0.283,0.370,0.752
13123,-0.105,0.166,0.824
13324,-0.323,-0.021,0.814
13525,-0.358,0.320,0.944
13726,-0.452,-0.364,1.373
13927,0.749,0.241,0.997
14128,0.904,0.916,0.911
14329,0.875,0.924,0.777
14530,0.901,0.787,0.692
14731,0.869,1.119,0.614
14932,0.145,0.345,0.554
15133,0.251,0.510,0.830
15334,0.053,0.929,0.940
15535,0.095,0.982,1.230
15736,0.192,0.300,1.378
15937,-0.112,0.372,1.721
16138,-0.183,0.601,1.887
16339,0.234,0.539,1.794
16540,0.572,0.586,1.206
16741,0.853,0.810,0.899
16942,0.580,-0.452,0.166
17143,0.604,-0.626,0.392
17344,0.654,-0.350,0.472
17545,0.190,-0.385,0.724
17746,0.019,-0.404,1.039
17947,0.035,-0.322,1.632
18148,-0.398,-0.434,1.935
18349,-0.694,-1.085,1.970
18550,-0.621,-0.415,1.889
18751,-0.379,-0.105,1.809
18952,0.165,-0.796,1.124
19153,0.806,-0.424,0.444
19354,0.883,-0.420,0.355
19555,0.874,-0.769,0.521
19756,0.804,-0.341,0.460
19957,0.613,-0.323,0.538
20163,0.374,-0.528,0.215
20364,0.337,-0.301,0.289
20565,0.417,-0.086,0.241
20766,0.423,-0.230,0.184
20967,0.149,0.126,0.551
21168,-0.464,-0.385,0.956
21369,-0.642,-0.800,1.017
21570,-1.378,-0.692,1.688
21771,-1.089,-0.479,1.598
21972,-0.557,-0.906,1.431
22173,0.479,-0.849,0.606
22374,0.743,-0.155,0.411
22575,0.790,-0.247,0.464
22776,0.664,-0.518,0.266
22977,0.512,0.021,0.434
23178,0.164,0.053,0.889
23379,-0.132,-0.162,1.181
23580,-0.432,-0.045,1.700
23781,-0.376,-0.075,1.855
23982,-1.035,-0.514,1.970
24183,-0.064,0.229,1.607
24384,0.471,0.823,0.884
24585,0.710,0.515,0.777
24786,0.865,0.121,0.551
24987,0.659,0.525,0.344
25188,0.454,1.013,0.514
25389,0.412,0.498,0.807
25590,0.008,1.047,1.095
25791,-0.336,1.170,1.635
25992,-0.896,0.708,1.848
26193,-0.976,-0.036,1.970
26394,-0.010,0.087,1.467
26595,0.106,-0.028,0.974
26796,0.464,0.056,1.020
26997,0.179,0.573,0.621
27198,0.357,0.481,0.125
27399,0.550,0.010,0.524
27600,0.318,0.325,0.463
27801,0.040,0.268,0.807
28002,-0.304,0.033,1.008
28203,-0.670,0.314,1.428
28404,-0.602,-0.663,1.563
28605,0.165,-0.740,1.241
28806,0.715,-0.148,0.859
29007,0.690,0.081,0.516
29208,0.793,0.188,0.353
29409,0.992,-0.561,0.114
29610,0.938,0.022,0.400
29811,0.677,-0.283,0.627
30012,0.525,-0.390,0.885
30213,0.014,-0.399,0.906
30414,-0.378,-0.537,1.797
30615,-0.468,-0.825,1.970
30816,-0.199,-0.323,1.721
31017,0.490,-0.671,1.228
31218,0.809,-0.739,0.783
31419,0.995,-0.171,0.243
31620,1.115,-0.417,0.211
31821,1.148,-0.891,0.096
32022,0.868,-0.552,0.201
32223,0.807,-0.804,0.292
32424,-0.008,-0.317,1.496
32625,-0.307,-0.130,1.762
32826,-0.728,-0.055,1.970
33027,-0.637,-0.348,1.940
33228,-0.323,-0.111,1.686
33429,0.257,-0.277,0.514
33630,0.515,-0.168,0.398
33831,0.762,-0.597,0.274
34032,0.877,0.021,0.140
34233,1.015,0.058,0.296
34434,1.086,-0.385,0.352
34635,0.217,0.401,0.583
34836,0.063,0.569,0.935
35037,-0.488,0.247,1.767
35238,-0.771,0.412,1.793
35439,-0.836,0.345,1.826
35640,0.520,-0.362,0.970
35841,0.660,-0.037,0.831
36042,0.863,0.198,0.679
36243,1.022,-0.050,0.630
36444,0.850,-0.017,0.344
36645,0.721,0.465,0.678
36846,0.395,0.260,0.628
37047,0.199,0.078,0.780
37248,-0.080,0.277,0.779
37449,-0.266,0.219,1.008
37650,0.062,-0.221,1.460
37851,0.509,-0.100,1.147
38052,0.831,0.205,0.932
38253,0.928,0.484,0.744
38454,0.908,0.596,0.645
38655,0.773,0.269,0.282
38856,0.574,0.055,0.409
39057,0.392,0.134,0.551
39258,0.162,0.472,0.898
39459,0.072,0.452,1.059
39660,-0.179,-0.020,1.634
39861,-0.142,0.285,1.601
40062,0.029,0.005,1.939
40263,0.284,0.275,1.529
40464,0.842,0.565,0.936
40665,0.590,-0.557,0.339
40866,0.637,-0.499,0.173
41067,0.653,-0.463,0.177
41268,0.579,-0.600,0.364
41469,0.424,-0.653,0.482
41670,0.157,0.055,1.313
41871,-0.229,-0.249,1.746
42072,-0.602,-0.658,1.889
42273,-0.738,-0.586,1.955
42474,-0.969,-0.585,1.917
42675,-0.520,-0.386,1.627
42876,0.239,-0.046,0.952
43077,0.612,0.188,0.506
43278,0.682,-0.357,0.394
43479,0.741,0.009,0.558
43680,-0.281,1.109,0.878
43881,-0.456,0.870,1.204
44082,-0.841,0.708,1.369
44283,-0.960,0.871,1.595
44484,-1.190,0.525,1.829
44685,-1.075,0.562,1.699
44886,0.115,0.263,0.953
45087,0.111,0.468,0.701
45288,0.141,0.274,0.628
45489,0.375,0.664,0.499
45690,0.330,0.496,0.555
45891,-0.117,-0.174,1.269
46092,-0.427,-0.146,1.787
46293,-0.877,0.246,1.970
46494,-1.324,-0.435,1.970
46695,-1.233,-0.408,1.970
46896,-0.154,0.258,1.413
47097,0.098,0.145,1.022
47298,0.408,0.045,0.604
47499,0.638,0.179,0.799
47700,0.775,-0.214,0.925
47901,0.287,0.555,0.485
48102,0.166,0.633,0.928
48303,-0.183,0.700,1.222
48504,-0.997,0.358,1.970
48705,-1.630,0.373,1.970
48906,-1.563,0.313,1.970
49107,0.111,-0.210,0.838
49308,0.211,-0.265,0.416
49509,0.258,-0.033,0.361
49710,0.378,-0.182,0.282
49911,0.408,-0.160,0.240
50112,0.522,-0.070,0.451
50313,0.169,-0.643,0.340
50514,-0.220,-0.554,0.731
50715,-0.506,-0.067,0.973
50916,-1.006,-0.604,1.230
51117,0.072,-1.154,1.369
51318,0.426,-0.622,0.860
51519,0.560,-0.696,0.602
51720,0.760,-0.642,0.479
51921,0.791,-0.089,0.431
52122,0.544,0.033,0.295
52323,0.288,-0.317,0.423
52524,0.092,-0.260,0.519
52725,0.065,0.045,0.890
52926,-0.300,-0.528,1.347
53127,-1.235,0.176,1.970
53328,-1.180,0.713,1.970
53529,-0.274,-0.142,1.875
53730,0.390,-0.057,1.223
53931,0.654,0.279,0.745
54132,0.586,0.723,0.228
54333,0.640,0.234,0.273
54534,0.492,0.708,0.253
54743,0.968,0.785,0.508
54944,0.926,0.893,0.717
55145,0.323,0.368,0.743
55346,0.145,0.418,0.839
55547,0.136,0.771,1.084
55748,0.132,0.572,1.218
55949,0.031,0.310,1.431
56150,-0.009,0.608,1.721
56351,0.290,0.340,1.656
56552,0.728,0.630,1.078
56753,1.030,0.744,0.871
56954,1.003,0.595,0.727
57155,0.558,-0.566,0.038
57356,0.563,-0.288,0.048
57557,0.241,-0.599,0.322
57758,-0.086,-0.386,0.562
57959,-0.100,0.015,0.872
58160,-0.563,-0.551,1.509
58361,-0.517,-0.400,1.772
58562,-0.432,-0.127,1.648
58763,-0.229,0.153,1.944
58964,0.164,0.250,1.506
59165,0.784,0.530,0.834
59366,0.603,-0.495,0.131
59567,0.664,-0.577,0.234
59768,0.833,-0.322,0.204
59969,0.659,-0.711,0.230
60170,0.543,-0.503,0.570
60371,0.314,-0.076,1.238
60572,-0.139,-0.360,1.653
60773,-0.359,-0.758,1.970
60974,-0.274,-0.693,1.767
61175,-0.945,-0.758,1.970
61376,-0.186,-0.644,1.570
61577,0.111,-0.344,1.232
61778,0.290,-0.355,0.909
61979,0.752,-0.430,0.439
62180,0.932,-0.391,0.288
62381,0.529,0.499,0.730
62582,0.410,0.043,0.884
62783,0.250,0.281,1.002
62984,0.120,0.173,1.435
63185,-0.092,-0.431,1.631
63386,-1.054,0.040,1.846
63587,-0.627,0.171,1.970
63788,-0.293,-0.192,1.822
63989,0.060,-0.409,1.395
64190,0.026,-0.140,1.391
64391,0.459,0.172,0.740
64592,0.677,0.103,0.593
64793,0.493,0.701,0.684
64994,0.387,0.105,0.728
65195,0.184,0.463,0.723
65396,-0.821,0.651,1.734
65597,-0.963,0.607,1.826
65798,-0.818,-0.076,1.926
65999,-1.219,0.569,1.970
66200,-1.042,0.420,1.938
66401,-0.411,0.125,1.713
66602,0.232,0.702,0.663
66803,0.285,0.640,0.659
67004,0.453,0.424,0.621
67205,0.533,0.831,0.678
67406,0.454,0.437,0.650
67607,-0.319,0.344,0.917
67808,-0.390,0.664,1.564
68009,-0.825,0.594,1.942
68210,-0.872,0.138,1.970
68411,-1.072,0.399,1.915
68612,-0.165,0.528,1.970
68813,0.083,0.338,1.740
69014,0.212,0.411,1.382
69215,0.068,0.735,0.618
69416,0.117,0.426,0.416
69617,0.356,0.049,0.515
69818,0.216,0.463,0.293
70019,-0.015,0.188,0.478
70220,-0.129,0.476,0.835
70421,-0.188,0.692,1.105
70622,-1.041,0.335,1.970
70823,-1.186,0.051,1.970
71024,-0.925,0.504,1.970
71225,-0.466,0.250,1.970
71426,0.063,0.284,1.970
71627,0.319,0.504,0.787
71828,0.532,0.151,0.953
72037,0.998,0.081,0.417
72238,0.454,0.172,0.283
72439,0.563,0.353,0.481
72640,0.561,-0.019,0.182
72841,0.514,0.010,0.260
73042,0.560,0.145,0.485
73243,0.198,0.097,0.725
73444,-0.135,0.131,0.817
73645,-0.255,0.396,1.033
73846,-0.936,-0.492,1.621
74047,-0.506,-0.635,1.359
74248,-0.117,-0.327,1.259
74449,0.262,-0.271,1.057
74650,0.375,0.018,0.589
74851,0.997,0.497,0.606
75052,0.816,0.229,0.297
75253,0.662,0.312,0.358
75454,0.679,0.254,0.254
75655,0.606,0.046,0.436
75856,0.045,-0.322,0.819
76057,-0.224,-0.312,0.952
76258,-0.381,-0.391,1.304
