Time(ms),Ax(g),Ay(g),Az(g)
1265,0.020,0.000,-0.030
1366,0.149,0.124,0.935
1467,0.105,-0.043,0.964
1568,0.086,0.010,1.021
1669,-0.030,0.007,1.108
1770,0.064,0.022,1.026
1871,-0.026,0.028,1.099
1972,0.102,0.011,1.035
2073,0.088,0.031,1.014
2174,0.106,0.001,0.988
2275,0.415,0.059,0.727
2376,0.552,0.283,0.760
2477,0.069,-0.498,1.403
2578,0.360,-0.726,1.240
2679,0.373,-0.063,0.530
2780,0.387,-0.307,0.951
2881,0.486,-0.206,0.587
2982,0.768,-0.500,0.442
3083,0.619,0.386,0.432
3184,0.617,0.125,0.557
3285,0.583,0.040,0.546
3386,0.411,0.324,0.464
3487,0.286,0.514,0.451
3588,0.104,0.728,0.543
3689,-0.065,0.936,0.644
3790,-0.518,0.648,1.395
3891,-0.790,0.288,1.857
3992,-1.018,0.144,1.970
4093,-0.898,0.114,1.970
4194,-1.054,0.073,1.970
4295,-1.173,0.225,1.970
4396,-0.831,0.283,1.968
4497,0.085,0.355,1.356
4598,0.376,0.188,1.149
4699,0.636,-0.091,1.026
4800,0.777,-0.195,1.003
4901,0.698,0.003,0.861
5002,0.509,0.256,0.820
5103,0.633,0.564,0.839
5204,0.587,0.549,0.840
5305,0.616,0.339,1.035
5406,0.566,0.248,1.063
5507,0.536,0.251,1.194
5608,0.375,0.377,1.261
5709,0.039,0.356,1.660
5810,-1.434,0.937,1.970
5911,-1.893,0.821,1.970
6012,-1.974,0.671,1.970
6113,-1.880,0.500,1.970
6214,-1.762,0.482,1.970
6315,-1.279,0.454,1.970
6416,-0.967,0.288,1.830
6517,0.276,-0.566,0.898
6618,0.354,-0.520,0.632
6719,0.395,-0.550,0.344
6820,0.476,-0.718,0.310
6921,0.572,-0.749,0.262
7022,0.571,-0.515,0.252
7123,0.530,-0.386,0.283
7224,0.495,-0.031,0.511
7325,0.330,-0.290,0.558
7426,0.345,-0.574,0.604
7527,0.325,-0.814,0.567
7628,0.123,-0.844,0.557
7729,-0.118,-0.714,0.732
7830,-0.210,-0.474,0.925
7931,-0.711,-0.369,1.970
8032,-0.660,-0.382,1.970
8133,-0.700,-0.742,1.918
8234,-0.613,-1.040,1.756
8335,-0.600,-0.970,1.776
8436,-0.081,-0.722,1.454
8537,0.488,0.017,0.680
8638,0.507,0.157,0.566
8739,0.604,0.139,0.515
8840,0.658,0.090,0.528
8941,0.749,-0.012,0.535
9042,0.776,-0.013,0.479
9143,0.603,0.201,0.219
9244,0.536,0.445,0.293
9345,0.444,0.660,0.445
9446,0.322,0.587,0.468
9547,0.241,0.458,0.624
9648,0.127,0.256,0.713
9749,0.012,0.237,0.852
9850,-0.652,0.555,1.702
9951,-1.181,0.528,1.970
10058,0.799,-0.164,0.269
10159,0.710,-0.162,0.241
10260,0.726,-0.307,0.261
10361,0.717,-0.423,0.257
10462,0.430,-0.187,0.761
10563,0.216,0.030,0.736
10664,0.183,0.202,0.874
10765,0.122,0.390,0.988
10866,0.061,0.181,1.054
10967,-0.074,-0.035,1.144
11068,-0.315,-0.298,1.558
11169,-0.426,-0.177,1.663
11270,-0.267,-0.081,1.475
11371,0.039,-0.126,1.368
11472,0.407,-0.078,1.140
11573,0.538,0.182,1.116
11674,0.839,0.722,0.626
11775,0.847,0.529,0.563
11876,0.846,0.513,0.436
11977,0.932,0.625,0.378
12078,0.904,0.811,0.395
12179,0.848,0.688,0.355
12280,0.633,-0.411,0.162
12381,0.523,-0.529,0.292
12482,0.323,-0.561,0.467
12583,0.139,-0.341,0.666
12684,0.003,-0.068,0.794
12785,0.032,0.110,0.999
12886,-0.128,-0.288,1.342
12987,-0.310,-0.440,1.526
13088,-0.296,-0.495,1.724
13189,-0.302,-0.550,1.657
13290,-0.344,-0.292,1.613
13391,-0.479,0.008,1.684
13492,-0.581,-0.020,1.685
13593,-0.130,-0.687,1.460
13694,-0.188,-0.805,1.226
13795,0.083,-1.054,1.104
13896,0.574,-0.887,0.685
13997,0.823,-0.484,0.620
14098,0.906,-0.426,0.465
14199,0.895,-0.453,0.430
14300,0.734,-0.014,0.374
14401,0.651,-0.148,0.389
14502,0.579,-0.178,0.500
14603,0.438,-0.102,0.607
14704,0.306,0.217,0.648
14805,0.267,0.421,0.640
