Time(ms),Ax(g),Ay(g),Az(g)
1264,0.020,0.000,-0.030
1315,-0.932,-0.027,1.970
1366,-0.157,-0.088,1.291
1417,-1.034,0.231,1.677
1468,-1.046,-0.880,1.970
1519,0.616,0.465,0.398
1570,0.268,0.376,0.834
1621,1.037,-0.062,0.587
1672,0.805,0.320,0.685
1723,0.894,-0.230,0.460
1773,0.023,0.479,0.584
1825,0.255,-0.286,0.731
1876,-0.628,-0.380,1.456
1927,0.089,-0.058,1.384
1978,-1.226,-0.041,1.970
2029,-0.874,0.241,1.970
2079,0.592,-0.115,0.792
2131,0.355,-0.854,1.006
2181,0.766,0.622,0.265
2233,0.528,0.500,0.289
2283,0.602,-0.446,0.568
2335,0.299,0.155,0.867
2385,0.117,-0.354,1.319
2437,-1.512,0.953,1.952
2487,-0.752,-0.298,1.629
2539,-0.245,-1.071,1.427
2589,0.728,0.814,0.603
2641,0.698,0.044,0.595
2691,0.762,-0.596,0.319
2743,0.545,0.192,0.358
2793,0.259,0.587,0.432
2845,0.080,0.478,0.664
2896,-0.254,0.201,1.522
2947,-0.680,-0.608,1.957
2997,-1.570,0.456,1.970
3049,0.031,-0.287,1.139
3100,0.443,-0.866,0.587
3151,1.145,0.679,0.883
3201,0.546,-0.279,0.396
3253,0.725,-0.059,0.543
3303,0.221,0.791,0.846
3355,0.265,-0.313,0.684
3405,-0.866,0.215,1.970
3457,-1.127,0.019,1.970
3508,0.162,-0.381,1.313
3559,0.228,0.320,0.829
3609,0.694,-0.133,0.515
3661,0.462,-0.321,0.313
3712,1.004,0.384,0.957
3763,0.033,-0.329,0.622
3813,0.231,0.052,0.858
3865,-0.703,0.753,1.836
3915,-0.031,-0.414,1.545
3967,-0.265,0.214,1.497
4018,-0.850,-0.062,1.614
4069,0.907,-0.279,0.676
4120,0.447,-0.147,0.940
4171,0.884,-0.346,0.412
4221,0.486,0.176,0.336
4273,0.544,-0.375,0.489
4323,0.157,-0.212,0.537
4375,0.129,0.606,1.039
4425,-1.126,-0.232,1.851
4477,-0.764,-0.345,1.885
4527,-0.505,0.404,1.311
4579,0.018,-0.578,1.323
4630,0.505,0.723,0.283
4681,0.456,0.417,0.357
4731,1.171,-0.188,0.499
4783,0.537,0.109,0.755
4833,0.582,-0.391,0.597
4885,-0.447,0.815,0.977
4936,-0.013,-0.164,1.116
4987,-1.394,-0.693,1.970
5037,-0.851,-0.203,1.927
5089,0.600,0.295,1.092
5139,0.546,0.145,0.732
5191,0.874,-0.240,0.610
5242,0.760,-0.315,0.419
5293,0.356,0.534,0.590
5344,0.066,0.716,0.609
5395,-0.366,-0.549,1.616
5445,-0.550,0.343,1.970
5497,-0.718,-0.248,1.970
5548,-1.364,0.232,1.926
5599,0.671,-0.115,0.912
5649,0.276,-0.676,0.563
5701,0.820,0.166,0.606
5752,0.694,-0.025,0.508
5803,0.681,-0.285,0.535
5853,0.155,0.677,0.299
5905,-0.023,0.716,0.669
5955,-0.479,0.201,1.542
6007,-1.202,0.058,1.970
6057,-0.823,-0.765,1.970
6109,0.006,0.118,1.125
6160,0.249,-0.376,0.254
6211,0.787,-0.474,0.454
6262,0.983,1.068,0.590
6313,0.401,-0.368,0.550
6364,0.447,-0.218,0.571
6415,-0.205,1.042,1.520
6465,0.041,-0.040,1.075
6517,-0.815,-0.144,1.970
6567,-0.496,-0.133,1.928
6619,0.635,-0.361,0.754
6670,0.434,0.338,0.557
6721,0.887,-0.189,0.393
6771,0.448,-0.130,0.294
6823,0.783,0.065,0.749
6874,-0.177,-0.384,0.904
6925,0.032,0.556,0.937
6975,-1.232,0.790,1.970
7027,-0.629,-0.439,1.756
7078,0.442,-0.043,1.029
7129,-0.370,-0.424,1.424
7179,0.925,-0.133,0.559
7231,0.490,-0.110,0.509
7282,0.778,-0.088,0.395
7333,0.546,0.333,0.632
7384,0.292,-0.346,0.842
7435,-0.188,0.020,0.855
7485,0.002,0.005,1.400
7537,-1.581,-0.354,1.970
7588,-0.766,0.579,1.970
7639,0.169,0.602,1.390
7689,0.479,-0.868,1.007
7741,0.942,-0.070,0.849
7791,0.553,0.527,0.346
7843,0.581,0.625,0.409
7893,0.236,0.114,0.730
7945,-0.018,-0.096,1.160
7996,-1.828,-0.155,1.970
8047,-0.843,-0.321,1.657
8098,0.224,-0.524,0.543
8149,0.739,0.740,0.652
8200,0.778,0.381,0.634
8251,0.871,-0.582,0.433
8302,0.394,0.031,0.556
8353,0.370,0.143,0.569
8404,-0.229,-0.198,1.135
8455,-0.283,0.574,1.084
8506,-0.827,-0.382,1.970
8557,-1.419,0.795,1.970
8608,0.313,-0.471,0.605
8659,0.192,-0.555,0.916
8710,0.889,1.068,0.503
8761,0.566,-0.361,0.412
8812,0.815,-0.336,0.409
8863,0.582,0.110,0.712
8914,0.211,-0.027,0.674
8965,-0.508,0.702,1.012
9016,-0.975,0.315,1.618
9067,-0.945,-0.394,1.902
9118,-0.461,0.322,1.833
9175,0.203,-0.220,1.027
9226,-1.246,-0.078,1.928
9277,-1.136,0.478,1.637
9327,-0.445,-0.201,1.533
9379,0.020,0.118,1.604
9430,0.814,-0.297,0.699
9481,0.523,0.078,0.419
9531,0.816,-0.454,0.501
9583,0.237,-0.061,0.203
9633,0.133,0.580,0.707
9685,-0.563,-0.348,1.324
9736,-0.187,-0.149,1.186
9787,-1.161,0.753,1.970
9837,-0.952,-0.332,1.869
9889,0.351,-0.042,1.308
9940,0.330,0.379,0.714
9991,1.197,-0.382,0.694
10041,0.902,0.232,0.553
10093,0.948,-0.186,0.465
10143,0.023,0.062,0.450
10195,0.318,-0.086,0.624
10246,-0.874,-0.618,1.753
10297,0.033,0.358,1.371
10348,-1.095,0.021,1.970
10403,0.618,0.173,0.710
10454,0.585,-0.402,0.456
10505,0.155,0.692,0.779
10556,0.097,-0.154,1.108
10607,-1.280,-0.055,1.970
10657,-0.768,-0.531,1.699
10709,0.419,0.263,0.933
10759,0.700,0.598,0.758
10811,0.674,-0.289,0.563
10861,0.764,-0.780,0.505
10913,0.165,0.789,0.382
10964,0.073,0.550,0.678
11015,-0.254,-0.634,1.412
11065,-0.677,0.183,1.970
11117,-0.649,-0.433,1.970
11167,-1.578,0.704,1.970
11219,0.472,-0.563,0.715
11269,0.363,-0.860,0.609
11321,0.733,0.631,0.448
11371,0.596,-0.090,0.377
11423,0.698,-0.458,0.333
11474,0.462,0.753,0.482
11525,0.014,0.439,0.603
11576,-0.207,0.209,1.328
11630,0.341,-0.445,0.790
11681,1.113,0.687,0.580
11732,0.742,-0.282,0.323
11782,0.661,-0.486,0.609
11834,0.294,0.167,0.689
11885,0.136,-0.440,0.995
11936,-1.220,0.646,1.764
11986,-1.185,0.138,1.767
12038,-0.219,-0.202,1.269
12088,-0.360,0.177,1.669
12140,0.804,-0.145,0.739
12190,0.420,0.007,0.496
12242,0.729,-0.554,0.158
12292,0.421,-0.183,0.375
12344,0.648,0.418,0.848
12394,-0.516,-0.173,1.288
12446,-0.032,0.078,1.052
12496,-1.469,0.825,1.970
12548,-1.019,-0.474,1.940
12598,0.377,0.475,1.006
12650,0.292,0.408,0.632
12701,1.085,-0.354,0.589
12752,0.684,0.244,0.706
12802,0.851,-0.469,0.573
12856,-1.064,-0.645,1.831
12907,-0.122,0.240,1.510
12958,-0.975,0.370,1.970
13008,-0.662,0.007,1.802
13060,0.688,-0.183,0.761
13110,0.479,-0.437,0.802
13162,0.985,0.377,0.470
13212,0.532,0.408,0.192
13264,0.477,-0.618,0.665
13314,0.244,0.057,1.076
13366,-0.122,-0.102,1.553
13417,-1.413,0.483,1.797
13468,-0.004,0.082,0.751
13519,0.377,-1.125,0.701
13570,0.978,0.854,0.804
13621,0.757,0.235,0.544
13672,0.875,-0.701,0.540
13722,0.439,-0.060,0.430
13774,0.368,0.212,0.646
13825,-0.098,-0.235,1.431
13876,-0.287,0.044,1.314
13927,-0.984,-0.382,1.970
13978,-1.778,0.646,1.970
14029,0.142,-0.203,0.559
14086,-0.229,0.144,1.170
14137,-1.017,-0.128,1.970
14188,-0.973,-0.644,1.970
14239,-0.559,0.142,1.574
14290,0.331,-0.286,0.465
14341,0.574,-0.709,0.425
14392,1.037,0.971,0.552
14443,0.581,0.030,0.498
14494,0.826,-0.298,0.410
14544,0.047,0.785,0.823
14596,0.218,-0.065,0.769
14646,-0.886,0.335,1.970
14698,-0.828,0.317,1.617
14748,0.032,-0.455,1.521
14800,0.189,0.368,0.854
14850,0.705,-0.165,0.432
14902,0.504,-0.405,0.310
14953,1.011,0.367,0.665
15004,-0.101,-0.193,0.546
15054,0.108,0.198,0.831
15106,-1.101,0.760,1.936
15156,-0.228,-0.486,1.589
15208,-0.231,0.430,1.470
15259,-0.921,-0.210,1.794
15312,1.035,-0.326,0.542
15363,0.398,0.624,0.350
15414,0.556,-0.207,0.605
15464,0.021,-0.383,0.640
